instance,number of operations,slack time,object CPLEX 60,time CPLEX 60,object CPLEX 1800,time CPLEX 1800,average object MA - carbon,average time MA-carbon,average cost MA-carbon,coefficient of variation MA-carbon,average makespan MA-carbon,average object MA-cost,average carbon MA-cost,average makespan MA-cost,average objective MA-makespan,average carbon MA-makespan,average cost MA-makespan
CAS-PFSP-M1T1_27.cas,10,14,3134367.925,1.9098381996154783,3134367.925,1.885852575302124,3142899.52,1.11,1285498.94,0.002297992651066363,96.0,324687.71,4313285.54,96.0,82.0,4539503.49,2610642.35
CAS-PFSP-M1T1_28.cas,8,7,1827218.9817,0.8125109672546387,1827218.9817,0.8383033275604248,1833149.9,0.92,1353774.33,0.00970610750381079,90.6,1325135.71,1859155.54,94.3,89.0,6446621.63,4702289.08
CAS-PFSP-M1T1_29.cas,8,12,2421789.5408,0.6181366443634033,2421789.5408,0.5544712543487549,2425079.66,0.91,518821.57,0.002333131605252093,87.0,423860.52,2581724.23,86.4,84.0,3919431.47,2471142.56
CAS-PFSP-M1T1_30.cas,9,3,13179002.8125,3.450390577316284,13179002.8125,3.385873794555664,13179002.81,1.02,6914368.95,0.0,95.0,6855394.58,13208323.04,94.0,93.0,19844168.93,10809330.59
CAS-PFSP-M1T1_31.cas,9,6,3912915.2527,0.7467532157897949,3912915.2527,0.7319200038909912,3919214.23,1.02,3562091.57,0.004821614459182038,95.8,3227453.07,4124539.43,96.0,90.0,6271303.83,5624904.69
CAS-PFSP-M1T1_32.cas,11,4,11728356.8821,4.889750957489014,11728356.8821,4.5795578956604,11731035.96,1.2,9358055.86,0.00022839415113343493,95.0,9119289.03,11813087.08,96.0,92.0,12331938.12,10171498.43
CAS-PFSP-M1T1_33.cas,12,4,6442129.1445,4.556217670440674,6442129.1445,4.54802131652832,6442180.56,1.28,9517460.07,1.0226351060237902e-05,94.1,8328400.13,6554707.04,96.0,92.0,6567472.29,10346686.2
CAS-PFSP-M1T1_34.cas,11,1,14244214.0581,2.838855743408203,14244214.0581,2.7871787548065186,14248372.81,1.2,12797228.25,0.0005442031945260421,96.0,12652787.99,14581449.26,96.0,95.0,15250535.95,13517258.57
CAS-PFSP-M1T1_35.cas,10,5,4887613.1916,4.675253391265869,4887613.1916,4.539225339889526,4887613.19,1.11,3017324.59,0.0,96.0,2984788.04,5414687.78,94.7,91.0,12962154.97,7650034.61
CAS-PFSP-M1T1_36.cas,12,10,9877923.8788,9.30193281173706,9877923.8788,8.794208288192749,9885908.16,1.28,8966154.22,0.00010067461520904924,96.0,8726660.72,10066543.0,95.8,86.0,10553009.19,9871613.21
CAS-PFSP-M1T1_37.cas,14,6,5886605.658900015,7.529320001602173,5886605.658900015,7.195124387741089,5923493.01,1.47,3824440.67,0.008701396272939976,96.0,3548706.35,7052667.85,95.9,90.0,12749355.93,6838326.1
CAS-PFSP-M1T1_38.cas,9,1,8349825.662099996,3.777627944946289,8349825.662099996,3.619579553604126,8349825.66,1.02,3278799.98,0.0,96.0,2836366.92,8568453.51,96.0,95.0,9267429.92,6369203.78
CAS-PFSP-M1T1_39.cas,10,1,18313071.0781,2.8486571311950684,18313071.0781,2.7821648120880127,18313071.08,1.11,8111593.47,0.0,96.0,8032878.15,18452773.8,96.0,95.0,20335058.68,9401774.59
CAS-PFSP-M1T1_40.cas,10,15,10748300.8198,5.753366708755493,10748300.8198,5.536438941955566,10760083.39,1.11,10389926.63,0.002342294114878602,96.0,9137872.25,11769455.7,96.0,81.0,13019153.23,10695186.33
CAS-PFSP-M1T1_41.cas,15,5,18946131.25299988,6.7743213176727295,18946131.25299988,6.4569079875946045,18965592.14,1.56,8397349.64,0.00046640673988468465,95.9,8325103.75,19192072.9,96.0,91.0,21043548.95,9600246.27
CAS-PFSP-M1T1_42.cas,13,2,6515368.5767,13.301770448684692,6515368.5767,12.800758123397827,6530730.18,1.38,5972135.15,0.0011923505925642147,95.0,5729981.81,6687384.09,95.7,94.0,9395047.24,8924565.58
CAS-PFSP-M1T1_43.cas,10,12,9817039.236,2.9907214641571045,9817039.236,2.868470430374145,9825040.07,1.1,11576668.87,0.00027502686816014175,92.6,9791149.2,10051622.58,96.0,84.0,10337638.16,10927503.22
CAS-PFSP-M1T1_44.cas,9,6,5338081.2971,1.2342991828918457,5338081.2971,1.1520392894744873,5347932.46,1.02,4797343.39,0.002814693362825304,91.3,3484439.58,5793176.82,96.0,90.0,6995017.33,7477255.55
CAS-PFSP-M1T1_45.cas,11,5,7346876.855599999,28.033376455307007,7346876.855599999,27.007006406784058,7346876.86,1.2,7662139.31,0.0,96.0,6872092.63,7471343.13,96.0,91.0,8142325.92,10684363.41
CAS-PFSP-M1T1_46.cas,10,3,7307368.376700001,4.188080549240112,7307368.376700001,3.783859252929688,7307368.38,1.11,4021979.35,0.0,96.0,2748080.66,7394024.53,96.0,93.0,7385173.4,4393393.49
CAS-PFSP-M1T1_47.cas,6,15,4643795.7156,0.201185941696167,4643795.7156,0.2057561874389648,4643795.72,0.74,1140159.22,0.0,81.0,822728.57,5119462.77,93.0,81.0,5363341.5,1518292.46
CAS-PFSP-M1T1_48.cas,10,2,7108510.995,5.118129253387451,7108510.995,4.900971174240112,7108510.99,1.11,3815237.94,0.0,96.0,3596329.04,7389117.41,96.0,94.0,9964248.4,5258188.3
CAS-PFSP-M1T1_49.cas,9,1,5299672.843699998,6.544091463088989,5299672.843699998,6.319646120071411,5299672.84,1.02,6210827.75,0.0,96.0,4610781.09,5822699.68,96.0,95.0,7944686.13,7316710.29
CAS-PFSP-M1T1_50.cas,10,10,6056698.0933,3.9891319274902335,6056698.0933,3.8555209636688232,6056985.07,1.11,2913262.0,9.476001564586983e-05,96.0,2651170.67,6092424.29,96.0,86.0,6634324.0,4267956.06
