instance,number of operations,slack time,object CPLEX 60,time CPLEX 60,object CPLEX 1800,time CPLEX 1800,average object MA - carbon,average time MA-carbon,average cost MA-carbon,coefficient of variation MA-carbon,average makespan MA-carbon,average object MA-cost,average carbon MA-cost,average makespan MA-cost,average objective MA-makespan,average carbon MA-makespan,average cost MA-makespan
CAS-PFSP-M3T3_1.cas,123,126,10362312.2775,60.17382884025574,7920466.547494776,1800.7677342891693,6808231.4375,22.42,3492.1989550000003,0.0239750501284277,207.0,2500.8692925,6928068.58,262.8,166.6,7422731.835,3881.4614625
CAS-PFSP-M3T3_2.cas,108,154,17211337.625,60.14418268203735,9149240.342500001,1804.823346853256,7456427.7975,20.06,6301.253315000001,0.0174002767844812,268.1,2882.6652075,9328106.945,272.7,158.0,21085106.5575,17756.7917275
CAS-PFSP-M3T3_3.cas,144,79,34605637.90794999,60.0,44664039.3275,1800.2475683689115,22096913.78,26.23,13567.673285,0.0146255197996251,288.0,12856.487625,24471558.215,283.6,213.3,37303386.71,18550.822079999998
CAS-PFSP-M3T3_4.cas,132,111,27158423.105,60.16255307197571,15360544.774989791,1800.3600051403046,15437801.955,23.61,17695.616195000002,0.0158899277380968,275.6,17140.772072500004,19735450.99,255.6,181.0,26339345.4375,19404.819752500003
CAS-PFSP-M3T3_5.cas,138,83,20462062.3,60.11300015449524,9384036.47499299,1800.134238243103,8581590.8,24.77,7143.92896,0.0158600768985629,284.5,6345.330885,9856165.9475,280.1,211.0,15556279.1475,10679.9633425
CAS-PFSP-M3T3_6.cas,174,67,27310970.403525,60.0,34922928.115,1800.264207363129,18236251.345,29.66,11965.2266175,0.0119470024775533,275.4,11583.4521925,18813271.275,277.5,227.0,27663448.1,18410.91788
CAS-PFSP-M3T3_7.cas,105,124,24813918.4075,60.11892175674439,18867972.762500003,1800.47954082489,11873432.265,20.31,6785.28063,0.0260288577980109,279.1,6507.203275000001,12616279.57,271.8,166.3,17889029.01,9693.7521525
CAS-PFSP-M3T3_8.cas,123,136,15721585.815,60.13488268852234,13903599.2975,1800.4318203926086,3835443.11,21.68,3096.5085925,0.111714609032488,273.6,2602.1580525000004,3954501.23,273.8,161.0,10692069.265,8553.9187225
CAS-PFSP-M3T3_9.cas,162,96,39241983.26,60.18204784393311,39179740.33499999,1800.4027712345123,28366743.9,27.21,17960.140345,0.0098264163128007,271.7,17734.07846,30183228.68,276.6,195.6,34827943.8025,21392.906765
CAS-PFSP-M3T3_10.cas,168,76,15881313.029999997,60.15072536468506,15845905.762499997,1800.724673986435,13320148.6275,28.4,9788.3941625,0.0016118767215309,268.3,8371.1427025,13869009.7125,271.0,222.3,15231963.125,11366.378735
