instance,number of operations,slack time,object CPLEX 60,time CPLEX 60,object CPLEX 1800,time CPLEX 1800,average object MA - carbon,average time MA-carbon,average cost MA-carbon,coefficient of variation MA-carbon,average makespan MA-carbon,average object MA-cost,average carbon MA-cost,average makespan MA-cost,average objective MA-makespan,average carbon MA-makespan,average cost MA-makespan
CAS-PFSP-M3T3_11.cas,183,66,14901131.509999998,60.15979552268982,14870801.3825,1800.254210472107,10701228.6225,30.31,6060.4941525,0.0020409362112009,276.0,4324.0469925,11025256.135,284.2,232.0,12390446.87,7959.7321325
CAS-PFSP-M3T3_12.cas,123,126,12792912.352324998,60.0,13736123.082492193,1800.174283504486,6134247.455,22.3,4177.097825,0.0315509105101792,279.8,3725.05538,6506970.9225,273.3,168.4,14003667.115,9852.7711225
CAS-PFSP-M3T3_13.cas,117,117,11007456.5675,60.2787868976593,8936647.86,1800.2084636688232,7558124.5,21.9,4806.311775,0.0247657504186389,265.1,2831.3031175,7985412.4225,266.9,175.0,8747882.495,4893.01655
CAS-PFSP-M3T3_14.cas,144,104,26892626.2775,60.173529624938965,26779459.83250001,1800.5728676319122,21675218.625,25.24,11823.32453,0.0068185455268966,264.9,11205.21022,23416792.31,267.4,196.7,24942096.9725,13338.4585725
CAS-PFSP-M3T3_15.cas,144,91,33935381.17,60.125325202941895,32592203.315,1800.2215898036957,17738661.8675,25.85,16142.8662375,0.0124568981950577,277.8,15438.269765000001,20430591.5725,273.8,212.0,27091548.925,19720.95659
CAS-PFSP-M3T3_16.cas,129,106,16004036.8875,60.09947490692139,15705688.125,1802.478005170822,10766485.3325,23.73,7079.6626025000005,0.0195726742285978,262.3,5894.049015,11183904.58,268.0,189.5,13988741.285,9554.0023425
CAS-PFSP-M3T3_17.cas,102,133,30511191.2875,60.15400147438049,20558042.415,1800.3977453708649,11469041.8275,20.06,6934.9035300000005,0.0423610197614827,285.3,6178.4764025,12501982.8625,282.6,165.0,26731351.06,15080.620495
CAS-PFSP-M3T3_18.cas,144,99,15371475.73595,50.58025813102722,10956665.824992143,1800.290515422821,9980536.805,25.39,7646.1865075000005,0.0121630369059091,274.9,6104.0453125,10707897.3175,277.1,207.0,15195915.9125,12864.4174575
CAS-PFSP-M3T3_19.cas,114,132,14580644.55,60.15917015075684,13421992.062499998,1800.7616846561432,8449601.3875,21.29,9506.293140000002,0.0275839518115966,282.0,7870.4207125,9015030.3775,273.7,180.0,12549840.2125,13846.838960000001
CAS-PFSP-M3T3_20.cas,168,77,24773134.665,60.125853300094604,23299815.7624923,1800.2671103477478,16513401.025,28.62,16880.73775,0.0068223079745621,278.9,16057.10404,18575617.4975,279.7,219.0,20709438.4825,19019.665235
CAS-PFSP-M3T3_21.cas,150,106,11329258.0,60.190972089767456,11262544.435000066,1803.0630552768707,9975086.3925,25.59,12345.8499425,0.0013208599887321,199.7,11457.107067500001,10349687.17,233.5,193.2,10320268.95,14052.4739575
CAS-PFSP-M3T3_22.cas,159,76,19513971.997725,60.0,27196229.195,1800.2945792675018,11936802.9975,27.97,7563.5919975,0.014265384754667,287.4,6620.5065075,12599921.785,281.1,222.0,21408110.8225,13113.140575
CAS-PFSP-M3T3_23.cas,141,97,22210382.864999995,60.1248459815979,9843458.449999992,1800.2473125457764,8180479.1825,24.95,5378.290742499999,0.0251509236696233,286.5,4389.449582499999,8421542.025,279.2,211.0,16325136.995,10030.41933
CAS-PFSP-M3T3_24.cas,159,75,12968294.902325,60.0,17043832.552500002,1800.2374284267426,9750623.7075,27.58,3953.3354700000004,0.0075689611981675,269.3,1914.25978,10150890.4525,273.0,219.3,13577035.73,7940.49835
CAS-PFSP-M3T3_25.cas,147,100,22907901.8825,60.11030960083008,22764571.44,1800.1786901950836,17596104.065,25.78,12374.6400475,0.0041899345859546,271.5,12011.85468,18140916.3775,268.7,207.4,19609241.105,13802.533035
CAS-PFSP-M3T3_26.cas,162,81,18162516.993925,60.0,22377839.005,1800.1458749771118,13334764.325,28.04,10354.4570625,0.014991456926255,287.2,9016.719720000001,14607555.5425,275.8,220.0,18566551.875,12690.927555
CAS-PFSP-M3T3_27.cas,129,96,15820891.799999997,60.09833812713623,15748974.107499998,1800.1088695526123,9194298.745,24.07,4620.1853224999995,0.0030357372295716,263.4,3992.2119100000004,9606645.4225,260.1,207.2,11040939.765,7047.5960075
CAS-PFSP-M3T3_28.cas,159,83,20361231.75,60.14164233207703,14690462.505,1800.160168647766,9461320.455,27.6,4717.59116,0.0222850315664527,286.6,2818.576295,9996203.9425,272.7,209.0,15075884.3025,9071.798977499999
CAS-PFSP-M3T3_29.cas,111,132,34225053.89,60.242976903915405,29831903.89749995,1800.2996981143951,18728237.1825,20.94,12726.58444,0.0067836805067117,277.9,11816.30801,19951232.91,271.7,159.3,24734299.305,15728.63931
CAS-PFSP-M3T3_30.cas,120,131,22431796.449999996,60.10826873779297,13331566.862499997,1800.1771969795227,6895502.15,22.23,4642.06175,0.0317600227272788,281.7,3994.970425,7182117.0625,278.0,188.0,14249345.8325,10518.949535
CAS-PFSP-M3T3_31.cas,117,143,21215900.78,60.10139799118042,18634427.4025,1800.21395277977,5551583.8475,21.29,3911.51492,0.0390483713215681,276.8,3206.3439775,5672268.3125,275.6,168.8,12969647.145,9113.11813
CAS-PFSP-M3T3_32.cas,126,119,12584477.467500001,60.119367361068726,12521878.08,1800.2361299991608,8478743.335,23.15,5290.1866475,0.01813499199407,268.3,3349.2602475000003,8793737.34,268.1,187.0,9753955.6175,5570.0182
CAS-PFSP-M3T3_33.cas,129,104,19437420.854999997,60.120278120040894,11215902.065000001,1800.1608350276947,8130161.26,23.66,4016.9808125,0.019645373553144,284.3,2231.30499,8754865.33,268.1,187.6,13616054.505,8323.167645
CAS-PFSP-M3T3_34.cas,138,130,14217793.265,60.11390233039856,10019212.455,1800.2119319438934,7621179.335,23.8,3754.1478375,0.0052012566897561,262.5,3008.3873075,7896543.0575,259.9,173.1,9285485.9825,5267.8529325
CAS-PFSP-M3T3_35.cas,117,138,14011814.5125,60.15420079231262,13025762.87,1802.304836988449,11056288.8625,21.41,8704.0550875,0.0101278380017542,246.0,7972.607525,12161447.175,251.7,172.2,12353410.9825,8827.2734
CAS-PFSP-M3T3_36.cas,120,133,17254131.805,60.15478873252869,14742577.609849937,1802.877535104752,13852770.735,21.96,16865.8427225,0.0100026949590601,258.0,15981.238897500001,14756983.455,269.4,172.0,15128350.34,18549.984535
CAS-PFSP-M3T3_37.cas,159,73,14192135.384024998,60.0,15565725.169993814,1800.1801512241364,9852402.585,27.99,4889.5187225,0.0150462137251367,286.3,2995.874915,10430951.04,271.3,219.1,15247397.605,8869.635414999999
CAS-PFSP-M3T3_38.cas,123,131,19573395.0825,60.12565493583679,18952492.78,1800.1378698349,10151161.64,22.34,7924.16656,0.012547303896542,268.2,7464.862405000001,10752088.8575,269.9,182.0,14548649.15,10914.550175
CAS-PFSP-M3T3_39.cas,162,77,28922491.0375,60.12563061714173,24552090.107492574,1800.364706993103,12625723.6925,27.95,10743.313199999999,0.0059004659308561,281.9,10094.491119999999,13163029.4875,278.3,220.8,21639968.2675,17011.8459725
CAS-PFSP-M3T3_40.cas,117,123,38786545.06,60.14771795272827,35236646.47500333,1804.302806854248,30261360.525,21.64,21271.8435475,0.0080308044907376,251.9,20236.0955975,31681196.7175,254.4,172.0,36383876.515,27310.913405000003
CAS-PFSP-M3T3_41.cas,129,110,26357729.57180001,60.0,29185217.2675,1800.2148551940918,12525300.5275,23.54,5281.9426825,0.0212378738470952,274.9,5169.22251,13141585.2,275.4,194.2,23547901.275,9818.629247500001
CAS-PFSP-M3T3_42.cas,132,119,11056523.902024997,60.0,13738266.675,1800.217406988144,8508634.8875,23.59,9123.316165,0.0191698274349064,262.7,6912.918514999999,9460066.04,263.9,169.7,10886573.4625,11100.9187325
CAS-PFSP-M3T3_43.cas,159,101,32572998.714999996,60.121795415878296,22787858.77998878,1800.314011335373,15841436.41,26.84,10013.888789999999,0.0122916382050483,269.7,9296.75303,16503954.3775,268.9,198.0,23151197.95,16090.642432499999
CAS-PFSP-M3T3_44.cas,114,145,32929312.0325,60.10926032066345,31819975.0675,1800.2613101005554,9839998.3775,21.31,5890.8831125,0.0302301670780941,275.5,5889.283485000001,10581042.7225,271.9,191.0,19967409.565,12042.0538775
CAS-PFSP-M3T3_45.cas,159,78,16626535.1375,60.119221925735474,10222373.912494777,1800.2941372394562,10843029.725,27.59,6041.2324075,0.0070225549898139,272.3,4668.253290000001,11942191.52,271.2,215.4,12668642.51,8198.247905
CAS-PFSP-M3T3_46.cas,153,91,20266861.965550005,60.0,17866892.049991384,1800.2140457630155,11622431.735,26.57,9935.711465,0.0172561338343709,278.3,9354.1090325,12143974.235,277.9,198.3,20613831.52,15939.249885
CAS-PFSP-M3T3_47.cas,123,115,12314537.459999997,60.379064083099365,12121170.477500007,1806.8449263572693,10947562.8575,22.63,13424.64486,0.0018810510858032,196.3,12410.546865,11414731.285,251.2,186.0,11292100.1825,15232.2907975
CAS-PFSP-M3T3_48.cas,141,124,30412463.065,60.16742157936096,30112546.670000006,1800.2948503494265,20186814.785,24.34,13188.763654999999,0.0125088336218169,271.8,13028.5410875,21938234.135,274.0,177.0,26084888.535,16096.902727499999
CAS-PFSP-M3T3_49.cas,132,131,18174744.08,60.14653873443604,17706865.91,1800.3991825580597,13250975.82,23.43,16321.627705,0.0091087876575719,272.7,15791.5583675,13903146.3225,266.3,195.2,17134294.2925,18986.612937500002
CAS-PFSP-M3T3_50.cas,144,97,30997130.545,60.172780990600586,30742778.7475,1800.2827062606812,15789751.38,25.54,10285.035275,0.0195100755601637,270.4,9805.796825,16483014.1575,270.5,204.3,24522328.965,16409.5798575
