instance,number of operations,slack time,object CPLEX 60,time CPLEX 60,object CPLEX 1800,time CPLEX 1800,average object MA - carbon,average time MA-carbon,average cost MA-carbon,coefficient of variation MA-carbon,average makespan MA-carbon,average object MA-cost,average carbon MA-cost,average makespan MA-cost,average objective MA-makespan,average carbon MA-makespan,average cost MA-makespan
CAS-PFSP-M3T1_1.cas,36,48,5787919.089999989,60.04908514022827,5745603.625,556.3532440662384,4913619.8125,7.43,4436.27544,0.0100696455745577,96.0,4392.136417500001,5221937.23,89.0,56.0,6225010.81,5434.3319525
CAS-PFSP-M3T1_2.cas,30,56,2905442.870000011,48.70722270011902,2905442.870000011,47.47288751602173,2845580.8875,6.3,663.0834175,0.0012081566597182,66.4,280.25230750000003,3220747.465,68.4,48.0,3059181.9275,649.8051700000001
CAS-PFSP-M3T1_3.cas,42,41,3715308.319999999,60.04387354850769,3689555.7274999996,1800.874586105347,2724087.29,8.43,2469.5832875,0.0030412608400665,95.3,2202.3211225,2820198.4725,90.3,62.0,3378847.0225,2694.0919424999997
CAS-PFSP-M3T1_4.cas,48,42,8200028.915,60.0541615486145,7740268.65,1801.1718077659607,7594536.6275,9.22,6295.73477,0.0031754939350313,96.0,6209.173264999999,7773087.6325,74.5,69.0,9062993.4075,6594.3591925
CAS-PFSP-M3T1_5.cas,30,53,3872344.045,60.05173897743225,3864684.3774999995,572.9388949871063,1849433.2475,6.33,1272.64328,0.0063388148860452,83.2,1137.4309325000002,1856953.0525,83.6,47.1,3545282.4275,3340.3222825000003
CAS-PFSP-M3T1_6.cas,36,50,7188238.312500001,60.02535939216614,7124407.025,1801.2428648471832,4824678.93,7.33,3089.30115,0.0037293657797867,79.1,3040.238705,4878366.655,80.8,56.0,6948422.655,4573.153
CAS-PFSP-M3T1_7.cas,33,42,4679123.7325,60.04080009460449,4646570.6475,1800.12571310997,3474367.075,7.33,2467.4837475,0.002186809809093,76.1,2431.9659175,3501467.9275,76.3,68.0,3694936.165,2598.458125
CAS-PFSP-M3T1_8.cas,45,44,4542475.865,60.04784035682678,4534925.5475,1801.2175743579865,2721861.845,8.61,1083.39399,0.0007266919162827,85.6,915.7454325,2753813.4925,94.4,56.0,3957239.5725,2394.6417875
CAS-PFSP-M3T1_9.cas,42,32,7152568.31,60.048709869384766,7130332.81,1801.5925076007843,4363897.6775,8.71,3417.3253875,0.0046021301332402,85.2,3108.1409500000004,4463447.985,83.6,66.0,5361892.6775,4556.942295
CAS-PFSP-M3T1_10.cas,33,59,2295933.1575,60.04470705986023,2292353.785,213.4683394432068,2196686.98,6.3,1079.207435,0.0013523945500874,58.0,930.44094,2208701.9225,59.6,42.0,2315937.3925,1660.34769
CAS-PFSP-M3T1_11.cas,36,48,3763254.9574999996,60.04675579071045,3740228.3825,1801.2655231952667,2292903.695,7.47,3793.2385825,0.0063330472761089,96.0,3785.12342,2360976.6675,86.9,62.0,3147459.555,5681.184337500001
CAS-PFSP-M3T1_12.cas,39,47,9129185.205,60.05208969116211,8998080.929999998,869.6663091182709,8747136.0775,7.74,5503.4116525,0.003787667152592,86.3,4985.6460975,8841686.3525,93.3,55.0,9503849.88,6084.9667325
CAS-PFSP-M3T1_13.cas,24,56,6531393.285,3.721632242202759,6531393.285,4.066401720046997,5862307.5975,5.55,4054.4869375000003,0.0087912070703997,96.0,3821.164975,6459833.3475,84.5,41.0,8043664.4175,4809.4141525
CAS-PFSP-M3T1_14.cas,30,52,8238404.4775,60.03904867172241,8172363.0275,1323.318285226822,7889077.3375,6.55,5066.3738125,0.0017390230711501,79.2,4602.7422424999995,8006989.97,93.2,59.0,8384545.22,5487.4693625
CAS-PFSP-M3T1_15.cas,42,27,3858033.75,60.04838538169861,3824867.0575,1801.6026129722595,2380126.0325,8.45,4029.95644,0.0038628994324064,95.9,3935.1836675,2407886.4775,95.9,72.0,2939743.8625,5294.8691125
CAS-PFSP-M3T1_16.cas,33,49,7600108.605,60.05604958534241,7592883.6,414.6153419017792,5310229.725,6.78,3281.4004775000003,0.0109002525309768,73.2,3180.4485325,5732821.465,74.0,51.1,7056548.195,4364.3940625000005
CAS-PFSP-M3T1_17.cas,42,54,4174702.435,60.071794748306274,4141157.3825,1801.062924861908,3490717.7725,7.7,1952.4096625000002,0.0053311005680852,72.2,1855.138275,3521598.37,71.8,48.0,4159084.8925,2420.330935
CAS-PFSP-M3T1_18.cas,39,50,2587363.7925,60.04364347457886,2580010.905,184.629695892334,2451782.33,7.54,1628.791545,0.0002547789387159,64.0,1559.9290975,2484800.2425,63.8,47.3,2582923.7825,2510.0427275
CAS-PFSP-M3T1_19.cas,36,47,2154827.215,60.054219245910645,2154531.5925,905.3519704341888,2039994.85,7.41,856.821335,0.0009671311180025,93.2,63.0683175,2084892.0525,67.4,54.0,2134740.4375,186.9507925
CAS-PFSP-M3T1_20.cas,39,46,7018859.01,60.05023384094238,6972137.59,1801.259111404419,4795292.845,7.84,2987.459435,0.0014150725970939,81.2,2902.371705,4845279.6025,81.5,59.0,7063789.595,4932.242605
CAS-PFSP-M3T1_21.cas,33,49,11094368.1325,60.05067014694214,11094368.1325,1462.3452887535095,10873661.0325,7.14,7188.24193,0.0017997763073087,85.7,6382.5028125,11072376.205,96.0,61.0,11514490.3375,7690.91384
CAS-PFSP-M3T1_22.cas,33,47,6763919.74,60.04447317123413,6662190.0675,502.7007291316986,4847523.255,7.02,4492.601605000001,0.0068117630928208,66.4,4482.3366575,4961805.51,65.8,57.0,6424388.39,5328.8869349999995
CAS-PFSP-M3T1_23.cas,27,48,3764169.39,60.04203534126282,3763413.912500003,73.64053845405579,1773056.46,6.27,1886.1874375,0.0083385302913591,78.8,1630.6432450000002,1902264.845,80.1,57.0,2526579.6525,2985.5228425
CAS-PFSP-M3T1_24.cas,54,25,13256009.6925,60.060073137283325,13010495.325,1800.9726123809814,9046124.1025,10.24,5540.1973875,0.0034252680649646,86.2,5508.70885,9184244.56,94.5,80.0,10056166.3825,6089.49064
