instance,number of operations,slack time,object CPLEX 60,time CPLEX 60,object CPLEX 1800,time CPLEX 1800,average object MA - carbon,average time MA-carbon,average cost MA-carbon,coefficient of variation MA-carbon,average makespan MA-carbon,average object MA-cost,average carbon MA-cost,average makespan MA-cost,average objective MA-makespan,average carbon MA-makespan,average cost MA-makespan
CAS-PFSP-M3T1_25.cas,30,53,3606916.6275,50.44552183151245,3606916.6275,529.1736092567444,3313228.0025,6.42,558.0123225,0.0013129589924742,70.5,333.3284825,3612308.7175,68.5,54.0,3768279.61,743.7616725
CAS-PFSP-M3T1_26.cas,45,50,3542568.21,60.0580735206604,3535998.3675,1801.2798397541046,2529440.36,8.51,2139.4132525,0.0008251271834691,86.8,641.0854525,2624861.23,93.3,70.0,2853319.5875,1930.3787025
CAS-PFSP-M3T1_27.cas,39,51,10815576.3675,60.057263135910034,10689089.7,1801.3877403736117,10442933.585,7.54,6467.7356325,0.0011031517060059,76.6,6116.523190000001,10570207.36,93.5,57.0,11602168.9975,7760.092655
CAS-PFSP-M3T1_28.cas,48,37,10710906.232499998,60.06901550292969,10573563.2,1800.8799142837524,6969371.46,9.08,4190.7855,0.004435026555465,77.4,4190.8455775,7007189.71,76.8,71.0,7790911.5675,4618.7536425
CAS-PFSP-M3T1_29.cas,27,67,4087280.4224999994,12.7338707447052,4087280.4224999994,24.215957164764404,2013941.21,5.62,1081.7487275,0.0085143808641762,77.5,929.6909225,2064434.8975,78.4,42.0,5424952.2975,3932.2928825
CAS-PFSP-M3T1_30.cas,36,57,8062374.5075,60.0470757484436,8024025.282499999,1801.415599822998,3044874.1975,7.07,1997.9401100000002,0.0135399904317393,90.3,1872.04244,3316986.635,83.3,54.0,7769486.1575,4312.408445
CAS-PFSP-M3T1_31.cas,45,39,5776597.3325,60.06497716903687,5764551.9775,1801.500828742981,5300702.29,8.7,7565.443632500001,0.0053334489381406,96.0,6768.3277225,5788962.7125,95.9,58.0,6634445.725,8005.0110275
CAS-PFSP-M3T1_32.cas,36,56,11891654.21,60.04584312438965,11883851.5025,717.8072264194489,9355624.0225,7.11,4283.4629425,0.002941774908206,96.0,3861.243855,9484564.8625,81.3,53.0,11453519.1825,5173.512264999999
CAS-PFSP-M3T1_33.cas,36,54,6653125.235,60.05534315109253,6612015.99,1801.5180759429927,6149742.27,7.16,3190.345225,0.0022319073543873,74.8,3131.539295,6225284.0875,83.2,53.0,7189153.2925,3805.647085
CAS-PFSP-M3T1_34.cas,45,41,4004203.8925,60.05419874191284,3999239.67,1801.1237301826477,2182488.41,8.61,939.4781675,0.0007832252360048,88.0,743.095265,2219836.26,95.9,64.0,2912085.2175,1736.1653500000002
CAS-PFSP-M3T1_35.cas,42,46,7171209.295,60.05465865135193,7094911.014999999,1800.2556421756744,3782113.01,8.01,2267.6449500000003,0.0073641367739035,79.9,2261.8251475,3818757.8025,78.8,52.0,6099149.555,3614.5366125
CAS-PFSP-M3T1_36.cas,54,24,4185514.2599999923,60.07294297218323,4155787.967499999,1801.2777824401855,2679161.7725,10.32,1806.156315,0.0020957067832304,95.1,1055.4970375,2766923.0975,94.3,74.0,3119210.9,2048.017855
CAS-PFSP-M3T1_37.cas,48,37,6085758.112500003,60.06556057929993,6018411.8325,1801.0090889930725,5933704.46,9.27,5609.0248675,0.0049056336048121,96.0,5584.478842500001,6138744.6025,78.8,64.0,6578770.595,5899.097755
CAS-PFSP-M3T1_38.cas,42,47,4465432.672500001,60.057830572128296,4461177.46,1800.19193816185,2443507.6325,8.22,2524.759465,0.0056677836057465,78.9,2290.3000075,2591935.1825,78.3,67.0,2722736.33,3233.845645
CAS-PFSP-M3T1_39.cas,36,57,3187620.175,60.04261326789856,3187620.175,483.1935346126557,3092911.5725,7.2,3331.9230675,0.0011359733111154,83.6,3053.107545,3153820.0425,88.1,58.0,3350387.565,3752.833735
CAS-PFSP-M3T1_40.cas,36,43,9347452.225,60.04143214225769,9215323.2425,1801.4143006801603,1810393.145,7.51,786.065595,0.0512803380615982,82.1,779.19259,1949880.9175,80.9,59.0,7127563.0825,2864.9475924999997
CAS-PFSP-M3T1_41.cas,36,47,3359308.18,60.07269644737244,3356038.0925,1801.925234556198,3149335.43,7.39,3534.03431,0.0007196407148031,93.6,2923.7578775,3201887.4275,75.9,53.0,3480764.335,3306.53415
CAS-PFSP-M3T1_42.cas,33,43,3781329.5199999996,60.04239463806152,3780086.2700000005,1800.1731276512146,2371852.5875,7.16,2649.5043975,0.004871441025,91.5,1915.4325000000001,2577982.6725,83.0,60.0,3441979.825,3653.05393
CAS-PFSP-M3T1_43.cas,33,47,3540569.875,60.0490186214447,3528633.3150000004,1801.1658790111542,927408.5025,7.09,541.3841775,0.0321728827367527,88.4,471.5264175,1023791.7325,85.5,53.0,3612507.7825,3292.425675
CAS-PFSP-M3T1_44.cas,33,52,8924974.0625,60.05418705940247,8849904.90500002,1800.1582934856417,7531667.6725,6.82,3663.219505,0.0090822541533214,73.4,3635.7196875,7777382.2375,79.7,50.0,9254218.6025,4536.973835
CAS-PFSP-M3T1_45.cas,48,41,4174805.6275,60.13956642150879,4171684.2674999996,1801.44628739357,2323591.52,8.92,605.4197325,0.0024069215487582,92.9,284.3186275,2364379.405,94.3,59.9,3399766.85,1219.15778
CAS-PFSP-M3T1_46.cas,27,59,5084323.869999843,60.04060649871826,5081242.062500002,121.85387468338013,1752482.885,5.81,938.2140300000001,0.0209045707741676,80.8,886.663365,1799468.46,78.7,50.0,4531990.945,2476.57468
CAS-PFSP-M3T1_47.cas,42,41,3647376.8550000004,60.0492422580719,3640854.445,1801.3777709007263,2268133.4275,8.31,2883.46367,0.0006932109817423,86.1,889.7731375,2392254.09,74.4,63.0,2664053.6025,1685.064145
CAS-PFSP-M3T1_48.cas,42,44,7489777.557499997,60.0616569519043,7388661.719999999,1801.691486120224,5338699.715,8.25,3579.8158875000004,0.0068408839136216,87.2,3438.3975675,5547270.4875,79.4,66.0,5946776.0525,3964.4824275
CAS-PFSP-M3T1_49.cas,24,64,2634324.7225,60.04144549369812,2634324.722499992,166.15795969963074,2382911.78,5.45,2296.5117375,0.0005836840086459,66.9,2262.3056825000003,2416684.985,70.7,48.0,2742456.51,2664.2802825000003
CAS-PFSP-M3T1_50.cas,42,43,3068051.8225000077,60.04809188842773,3057883.9349999996,1800.253252029419,1696683.01,8.04,1976.3141,0.0019913781655655,85.1,526.9960325,1802708.345,72.1,60.0,2239450.1075,1549.8502475
