instance,number of operations,slack time,average object MA - carbon,coefficient of variation MA-carbon,average time MA-carbon,object CPLEX 60,time CPLEX 60,object CPLEX 1800,time CPLEX 1800,average cost MA-carbon,average makespan MA-carbon,average object MA-cost,average carbon MA-cost,average makespan MA-cost,average objective MA-makespan,average carbon MA-makespan,average cost MA-makespan
CAS-PFSP-M1T3_27.cas,35,4,12014232.6,0.01268487343919078,3.12,31723542.192,60.10823154449463,12673964.1844,1802.0721669197085,9859364.21,285.0,9741072.15,12297896.91,285.4,284.0,28835194.45,23065863.15
CAS-PFSP-M1T3_28.cas,30,10,6297345.73,0.027620236756478667,2.69,8372271.624,60.33623433113098,6123154.716399999,1805.7640261650083,5597300.32,285.0,5557137.34,6442666.94,284.5,278.0,21531408.29,17669745.5
CAS-PFSP-M1T3_29.cas,31,14,20265035.68,0.0033121826706796107,2.76,21098820.8459,60.15294289588928,20112382.666,1800.2659885883331,25209639.99,288.0,23985363.69,21668383.04,288.0,274.0,24272418.09,28557009.63
CAS-PFSP-M1T3_30.cas,29,11,16043077.96,0.017616153253424693,2.61,31996299.981300004,60.06661868095398,15588058.7025,1800.1937019824982,12480432.27,285.9,11611481.59,17667924.55,286.6,277.0,31369219.21,24350461.44
CAS-PFSP-M1T3_31.cas,32,5,23282952.43,0.012966919505062098,2.86,30970264.6992,60.13951015472412,23808316.2194,1800.263791322708,21684340.03,287.0,20873444.86,25001425.17,286.8,283.0,38567819.09,30755543.57
CAS-PFSP-M1T3_32.cas,31,6,26931998.13,0.006349857859580952,2.78,32128586.5782,60.11764860153198,26987724.2374,1800.2226700782776,17496092.42,288.0,16791707.56,31270391.73,286.8,282.0,40441532.6,21208880.55
CAS-PFSP-M1T3_33.cas,40,12,17071185.53,0.002881615920203756,3.55,17742252.1063,60.19448947906494,16906947.3765,1800.1507008075714,21340442.02,287.9,20201563.41,18246090.6,288.0,276.0,20970746.15,25027213.98
CAS-PFSP-M1T3_34.cas,33,2,22130605.42,0.003080427702099439,2.95,28752128.7987,60.195072650909424,22160821.522600003,1800.3363726139069,17854446.52,286.6,16588103.8,23944624.71,287.5,286.0,27879736.0,21200943.72
CAS-PFSP-M1T3_35.cas,37,5,17894040.23,0.01332451793643922,3.31,26784311.5107,60.09961318969727,18264970.1311,1806.142944097519,11293349.6,288.0,10937881.63,19172503.34,287.4,283.0,28939422.41,19391484.31
CAS-PFSP-M1T3_36.cas,34,4,20318830.38,0.01657940116137728,3.04,26709198.9996,60.12780570983887,19908343.8138,1803.232878446579,14221319.81,288.0,13420212.48,23885450.57,286.4,284.0,43149494.98,23651064.81
